Amount (USD),Date of Transaction,Person Involved,Reported by Authority,Source of Money,Money Laundering Risk Score,Shell Companies Involved,Financial Institution,Country_China,Country_India,Country_Russia,Country_Singapore,Country_South Africa,Country_Switzerland,Country_UAE,Country_UK,Country_USA,Transaction Type_Cryptocurrency,Transaction Type_Offshore Transfer,Transaction Type_Property Purchase,Transaction Type_Stocks Transfer,Industry_Casinos,Industry_Construction,Industry_Finance,Industry_Luxury Goods,Industry_Oil & Gas,Industry_Real Estate,Destination Country_China,Destination Country_India,Destination Country_Russia,Destination Country_Singapore,Destination Country_South Africa,Destination Country_Switzerland,Destination Country_UAE,Destination Country_UK,Destination Country_USA,Tax Haven Country_Cayman Islands,Tax Haven Country_Luxembourg,Tax Haven Country_Panama,Tax Haven Country_Singapore,Tax Haven Country_Switzerland,Person Involved_freq,Financial Institution_freq
0.6528340494447391,0.0,69,True,0,0.5555555555555556,0.1111111111111111,334,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0.16666666666666666,-0.8976537841508008
0.9931769178050794,0.00010001000099890689,4569,False,0,0.8888888888888888,0.0,402,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,0.6738689472056432
0.0168616038054514,0.0002000200020049192,1858,True,0,0.0,0.3333333333333333,319,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0.0,-2.0201700208339752
0.07543184235967045,0.0003000300030038261,1546,False,0,0.6666666666666665,0.2222222222222222,282,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.6666666666666666,-0.6731505368141659
0.12692875278075746,0.000400040004002733,4909,True,0,0.0,1.0,452,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,0.5,-0.44864728947753113
0.9842165497509245,0.0005000500050016399,2115,False,1,0.6666666666666665,0.3333333333333333,374,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,-0.22414404214089628
0.651889619986496,0.0006000600060005468,1057,False,1,0.6666666666666665,0.8888888888888888,392,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.16666666666666666,0.6738689472056432
0.9373503921971906,0.0007000700069994537,2340,False,0,0.2222222222222222,0.5555555555555556,486,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,0.33333333333333337,-0.8976537841508008
0.17914097260413406,0.000800080008005466,5584,False,0,0.2222222222222222,0.6666666666666666,485,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.16666666666666666,1.3473786892155477
0.8346985976585507,0.0009000900090043729,6030,False,0,0.8888888888888888,0.0,339,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0.33333333333333337,-1.3466602788240705
